Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
A1,,c1,Unknown,,GAPDH,,13.39,,15.35,,0,0.0053,,0,,
A2,,c1,Unknown,,GAPDH,,16.32,,15.35,,0,0.0053,,0,,
A3,,c1,Unknown,,GAPDH,,16.34,,15.35,,0,0.0053,,0,,
A4,,scr1,Unknown,,GAPDH,,16.21,,15.86,,0,0.0032,,0,,
A5,,scr1,Unknown,,GAPDH,,15.56,,15.86,,0,0.0032,,0,,
A6,,scr1,Unknown,,GAPDH,,15.83,,15.86,,0,0.0032,,0,,
A7,,LsiG1,Unknown,,GAPDH,,16.94,,16.76,,0,0.0032,,0,,
A8,,LsiG1,Unknown,,GAPDH,,17,,16.76,,0,0.0032,,0,,
A9,,LsiG1,Unknown,,GAPDH,,16.33,,16.76,,0,0.0032,,0,,
A10,,c1,Unknown,,,,,,,,,,,,,
A11,,c1,Unknown,,,,,,,,,,,,,
A12,,c1,Unknown,,,,,,,,,,,,,
A13,,scr1,Unknown,,,,,,,,,,,,,
A14,,scr1,Unknown,,,,,,,,,,,,,
A15,,scr1,Unknown,,,,,,,,,,,,,
A16,,LsiG1,Unknown,,,,,,,,,,,,,
A17,,LsiG1,Unknown,,,,,,,,,,,,,
A18,,LsiG1,Unknown,,,,,,,,,,,,,
A19,,c1,Unknown,,,,,,,,,,,,,
A20,,c1,Unknown,,,,,,,,,,,,,
A21,,c1,Unknown,,,,,,,,,,,,,
A22,,scr1,Unknown,,,,,,,,,,,,,
A23,,scr1,Unknown,,,,,,,,,,,,,
A24,,scr1,Unknown,,,,,,,,,,,,,
B1,,c1,Unknown,,,,,,,,,,,,,
B2,,c1,Unknown,,,,,,,,,,,,,
B3,,c1,Unknown,,,,,,,,,,,,,
B4,,scr1,Unknown,,,,,,,,,,,,,
B5,,scr1,Unknown,,,,,,,,,,,,,
B6,,scr1,Unknown,,,,,,,,,,,,,
B7,,LsiG1,Unknown,,,,,,,,,,,,,
B8,,LsiG1,Unknown,,,,,,,,,,,,,
B9,,LsiG1,Unknown,,,,,,,,,,,,,
B10,,c1,Unknown,,,,,,,,,,,,,
B11,,c1,Unknown,,,,,,,,,,,,,
B12,,c1,Unknown,,,,,,,,,,,,,
B13,,scr1,Unknown,,,,,,,,,,,,,
B14,,scr1,Unknown,,,,,,,,,,,,,
B15,,scr1,Unknown,,,,,,,,,,,,,
B16,,LsiG1,Unknown,,,,,,,,,,,,,
B17,,LsiG1,Unknown,,,,,,,,,,,,,
B18,,LsiG1,Unknown,,,,,,,,,,,,,
B19,,c1,Unknown,Bcl2,,23.08,,22.92,,0,,0.0053,0,,0.0062,-7.57
B20,,c1,Unknown,Bcl2,,22.95,,22.92,,0,,0.0053,0,,0.0062,-7.57
B21,,c1,Unknown,Bcl2,,22.71,,22.92,,0,,0.0053,0,,0.0062,-7.57
B22,,scr1,Unknown,Bcl2,,24.11,,24.13,,0,,0.0032,0,,0.0009,-8.27
B23,,scr1,Unknown,Bcl2,,23.96,,24.13,,0,,0.0032,0,,0.0009,-8.27
B24,,scr1,Unknown,Bcl2,,24.33,,24.13,,0,,0.0032,0,,0.0009,-8.27
C1,,c2,Unknown,,GAPDH,,15.15,,15.18,,0,0.0047,,0,,
C2,,c2,Unknown,,GAPDH,,15.79,,15.18,,0,0.0047,,0,,
C3,,c2,Unknown,,GAPDH,,14.61,,15.18,,0,0.0047,,0,,
C4,,scr2,Unknown,,GAPDH,,15.43,,15.59,,0,0.0025,,0,,
C5,,scr2,Unknown,,GAPDH,,15.77,,15.59,,0,0.0025,,0,,
C6,,scr2,Unknown,,GAPDH,,15.56,,15.59,,0,0.0025,,0,,
C7,,LsiG2,Unknown,,GAPDH,,16.14,,16.73,,0,0.0025,,0,,
C8,,LsiG2,Unknown,,GAPDH,,17,,16.73,,0,0.0025,,0,,
C9,,LsiG2,Unknown,,GAPDH,,17.05,,16.73,,0,0.0025,,0,,
C10,,c2,Unknown,,,,,,,,,,,,,
C11,,c2,Unknown,,,,,,,,,,,,,
C12,,c2,Unknown,,,,,,,,,,,,,
C13,,scr2,Unknown,,,,,,,,,,,,,
C14,,scr2,Unknown,,,,,,,,,,,,,
C15,,scr2,Unknown,,,,,,,,,,,,,
